"X","Y","Z","ReturnNumber","NumberOfReturns","Classification"
309227.910,6143486.800,467.040,1.000,3.000,5.000
309227.670,6143487.230,464.080,2.000,3.000,5.000
309227.300,6143487.900,459.490,3.000,3.000,2.000
309227.660,6143487.060,464.180,1.000,2.000,5.000
309227.490,6143487.360,462.030,2.000,2.000,5.000
309227.800,6143486.620,466.060,1.000,2.000,5.000
309227.610,6143486.970,463.690,2.000,2.000,5.000
309227.800,6143486.460,466.170,1.000,3.000,5.000
309227.580,6143486.830,463.530,2.000,3.000,5.000
309227.420,6143487.120,461.550,3.000,3.000,5.000
309227.800,6143486.270,466.410,1.000,4.000,5.000
309227.670,6143486.500,464.810,2.000,4.000,5.000
309227.440,6143486.900,461.980,3.000,4.000,5.000
309227.240,6143487.240,459.510,4.000,4.000,2.000
309227.800,6143486.090,466.610,1.000,3.000,5.000
309227.610,6143486.420,464.220,2.000,3.000,5.000
309227.220,6143487.090,459.490,3.000,3.000,2.000
309227.640,6143486.200,464.740,1.000,3.000,5.000
309227.390,6143486.610,461.770,2.000,3.000,5.000
309227.210,6143486.920,459.510,3.000,3.000,2.000
309227.610,6143486.060,464.570,1.000,4.000,5.000
309227.550,6143486.150,463.910,2.000,4.000,5.000
309227.380,6143486.450,461.810,3.000,4.000,5.000
309227.200,6143486.760,459.510,4.000,4.000,2.000
309227.590,6143485.910,464.520,1.000,2.000,5.000
309227.180,6143486.600,459.510,2.000,2.000,2.000
309227.570,6143485.750,464.560,1.000,3.000,5.000
309227.500,6143485.870,463.690,2.000,3.000,5.000
309227.170,6143486.440,459.530,3.000,3.000,2.000
309227.710,6143485.340,466.400,1.000,2.000,5.000
309227.150,6143486.280,459.520,2.000,2.000,2.000
309227.690,6143485.200,466.320,1.000,3.000,5.000
309227.450,6143485.580,463.450,2.000,3.000,5.000
309227.130,6143486.110,459.510,3.000,3.000,2.000
309227.690,6143485.020,466.480,1.000,3.000,5.000
309227.430,6143485.440,463.360,2.000,3.000,5.000
309227.120,6143485.950,459.510,3.000,3.000,2.000
309227.680,6143484.840,466.630,1.000,4.000,5.000
309227.620,6143484.950,465.830,2.000,4.000,5.000
309227.440,6143485.250,463.610,3.000,4.000,5.000
309227.100,6143485.790,459.530,4.000,4.000,2.000
309227.660,6143484.710,466.510,1.000,2.000,5.000
309227.090,6143485.630,459.530,2.000,2.000,2.000
309227.630,6143484.570,466.370,1.000,3.000,5.000
309227.540,6143484.720,465.250,2.000,3.000,5.000
309227.070,6143485.470,459.540,3.000,3.000,2.000
309227.620,6143484.420,466.370,1.000,2.000,5.000
309227.060,6143485.310,459.550,2.000,2.000,2.000
309227.040,6143485.150,459.550,1.000,1.000,2.000
309227.590,6143484.110,466.420,1.000,2.000,5.000
309227.030,6143484.990,459.560,2.000,2.000,2.000
309227.590,6143483.930,466.550,1.000,3.000,5.000
309227.400,6143484.210,464.320,2.000,3.000,5.000
309227.010,6143484.830,459.560,3.000,3.000,2.000
309227.570,6143483.800,466.440,1.000,3.000,5.000
309227.360,6143484.120,463.890,2.000,3.000,5.000
309227.000,6143484.670,459.540,3.000,3.000,2.000
309227.360,6143483.930,464.110,1.000,2.000,5.000
309227.310,6143483.820,463.750,1.000,2.000,5.000
309227.290,6143483.670,463.660,1.000,2.000,5.000
309227.510,6143483.170,466.470,1.000,3.000,5.000
309227.300,6143483.480,463.910,2.000,3.000,5.000
309227.470,6143483.060,466.140,1.000,3.000,5.000
309227.300,6143483.300,464.170,2.000,3.000,5.000
309227.280,6143483.140,464.110,1.000,2.000,5.000
309227.460,6143482.720,466.400,1.000,3.000,5.000
309227.250,6143483.020,463.890,2.000,3.000,5.000
309227.450,6143482.550,466.460,1.000,2.000,5.000
